web_scraper_order,web_scraper_start_url,job_title,company,location,job_detail,description,requirements,skills,job_benefits,source,skills_clean
1776676332-1,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Technical Support Intern,Wirakom Sistem,"Tangerang Selatan, Banten",https://glints.com/id/en/opportunities/jobs/technical-support-intern/3b3218a7-c1d9-42fb-ab6a-035f61b19a93?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"WIRAKOM merupakan perusahaan distribusi perangkat telekomunikasi, digitalisasi dan keamanan siber yang bisnisnya terus tumbuh dan berkembang. Membutuhkan talenta-talenta muda  yang energik, dinamis, membutuhkan tantangan serta jenjang karier yang jelas. Dibuka lowongan magang minimal selama 3 bulan pada posisi TECHNICAL SUPPORT.Deskripsi Pekerjaan: Melakukan troubleshooting dan analisa teknis Mengeksplor teknologi dan perangkatMendiagnosis dan memperbaiki masalah teknis (hardware/software)Kualifikasi: Fresh Graduate Pendidikan minimal D3/S1 Teknik Informatika/TelekomunikasiFamiliar dengan TCPIP, LAN, Networking, Wireless, Security Keterampilan analitis dan evaluasi yang baikMemiliki inisiatif dan tanggung jawab yang baikMampu bekerja secara individu maupun timPengalaman magang atau kerja sebelumnya menjadi nilai plus Benefit:Uang saku / uang transport Sertifikat magang Kesempatan belajar langsung Peluang menjadi karyawan tetap",Job RequirementsOn-site1 - 3 years of experienceMinimum Bachelor’s Degree,SkillsTechnical SupportIT SupportNetwork TroubleshootingHardware MaintenanceTroubleshooting,Job BenefitsTransport MoneyTraining/CertificationCareer Path,Glints,Technical|SupportIT|SupportNetwork|TroubleshootingHardware|MaintenanceTroubleshooting
1776676336-2,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Mandarin Secretary,Pt. Sentum Teknologi Indonesia,"Jakarta Utara, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/mandarin-secretary/dc6fa774-f435-4a5d-830c-a23b59a5f8ec?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Sekretaris / Asisten MandarinSekretaris / Asisten Mandarin bertanggung jawab dalam memberikan dukungan administratif, koordinasi, dan komunikasi kepada manajemen/direktur, termasuk penggunaan Bahasa Mandarin dalam aktivitas kerja sehari-hari, baik lisan maupun tulisan.📌Tanggung Jawab Pekerjaan:Mengatur jadwal kerja, meeting, dan agenda pimpinanMenyiapkan, menerjemahkan, dan mengelola dokumen dalam Bahasa Indonesia, Inggris, dan MandarinMenjadi penghubung komunikasi antara pimpinan dengan pihak internal maupun eksternal.Menyiapkan notulen rapat dan laporan administrasiMengatur perjalanan dinas (tiket, akomodasi, dan itinerary).Mendampingi pimpinan dalam meeting atau kunjungan bisnis apabila diperlukan.Mengelola arsip dokumen secara rapi dan sistematis.Menangani tugas administratif dan koordinasi lainnya sesuai arahan atasan.📌 Kualifikasi:Pendidikan minimal S1 semua jurusan atau sederajatMampu berkomunikasi dengan baik dalam Bahasa Mandarin (lisan & tulisan).Menguasai Bahasa Indonesia dan Bahasa Inggris menjadi nilai tambah.Berpengalaman sebagai Sekretaris / Asisten menjadi nilai tambah.Memiliki kemampuan komunikasi, koordinasi, dan administrasi yang baik.Teliti, rapi, dan mampu mengatur prioritas pekerjaan.Mampu bekerja secara mandiri maupun dalam tim.Bersedia melakukan perjalanan dinas apabila diperlukan.Berpenampilan profesional dan memiliki etika kerja yang baik.",Job RequirementsOn-site1 - 3 years of experienceMinimum Bachelor’s Degree23-40 years oldFemale only,SkillsCommunication SkillsMicrosoft OfficeAdministrationSecretarial Skills,nan,Glints,Communication|SkillsMicrosoft|OfficeAdministrationSecretarial|Skills
1776676340-3,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Sales Manager,Pt United Teknologi Integrasi,"Jakarta Pusat, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/sales-manager/abe3b279-8daf-4041-bfe4-1cf4293c64ca?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Job Description :- Achieve revenue target for UTI- Building a sales team requires providing guidance, coaching, and performance feedback to ensure the team’s success- Create a system to onboard salespeople from day 1 until they are able to close deals and run revenue-target-based activities- Plan and monitor the day to day running of business to ensure smooth progress, also analyze market trends, identify opportunities, and plan effective sales campaigns- Identify bottlenecks, streamline procedures, and implement best practices to drive productivity and sales performance- Evaluate overall performance by gathering, analyzing, and interpreting data and metricsRequirements:- Maksimum 40 years old- Minimum 2 years’ experience in sales IT Product Selling- Minimum Bachelor Degree in any field, Preferred Information Technology- Ability to work independently, Good communicator & good team player- Computer working knowledge with MS-Word, MS Excel, MS-Outlook, PDF etc- Strong and excellent relationship with end-customer- Selling experience in small, medium organizations- Excellent negotiation and presentation skills- Target oriented and hard worker- Self-motivated, result driven with strong desire to achieve sales target",Job RequirementsOn-site3 - 5 years of experienceMinimum Bachelor’s Degree,SkillsGive it a try! - 1 of 12 skills match your profileTeamworkCollaborationCross-functional Team LeadershipRelationship BuildingNegotiation SkillsProduct MarketingIT Service ManagementCommunication SkillsLeadershipClient RelationsPresentation SkillsMicrosoft Office,nan,Glints,Give|it|a|try!|-|1|of|12|skills|match|your|profileTeamworkCollaborationCross-functional|Team|LeadershipRelationship|BuildingNegotiation|SkillsProduct|MarketingIT|Service|ManagementCommunication|SkillsLeadershipClient|RelationsPresentation|SkillsMicrosoft|Office
1776676345-4,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Project Manager,Bisnis Adviz Solusi,"Jakarta Pusat, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/project-manager/eff8cd64-affb-4eb5-b251-7e71dbb9e2d5?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Gambaran Umum Pekerjaan:Kami PT. BISNIS ADVIZ SOLUSI sedang mencari seorang Project Manager yang berpengalaman untuk memimpin pelaksanaan proyek mesin EDC. Sebagai Project Manager, Anda akan bertanggung jawab untuk mengelola semua aspek proyek, dari perencanaan hingga pelaksanaan, guna memastikan penyelesaian proyek tepat waktu, sesuai anggaran, dan sesuai dengan standar kualitas yang ditetapkan.Tanggung Jawab Utama:Mengelola seluruh fase proyek, mulai dari perencanaan, pelaksanaan, hingga penutupan (end-to-end)Menyusun timeline, resource planning, dan budget proyekMemastikan proyek berjalan sesuai target waktu, biaya, dan kualitasBerkoordinasi dengan tim internal, vendor/subcont/mandor, dan manajemenMelakukan monitoring progres proyek dan reporting ke manajemenMengidentifikasi dan mengelola risiko proyekMemastikan kepatuhan terhadap standar teknis dan keselamatan kerjaKualifikasi yang Dibutuhkan:Pengalaman minimal 3–5 tahun sebagai Project Manager, lebih diutamakan di proyek IT / perangkat elektronik.Minimal S1 di bidang Teknik, IT, Manajemen, atau bidang terkait.Pengetahuan tentang mesin Electronic Data Capture (EDC) atau perangkat IT sejenis.Menguasai manajemen proyek dan tools manajemen proyek (Microsoft Project, Trello, Asana, Jira, dll).Memiliki kemampuan manajemen proyek yang baik (timeline, reporting, budgeting, risk management)Memahami standar kualitas dan prosedur pengujian perangkatMemiliki kemampuan komunikasi dan leadership",Job RequirementsOn-site3 - 5 years of experienceMinimum Bachelor’s Degree,SkillsProject ManagementRisk ManagementTeam ManagementProject CoordinationProject Planning,Job BenefitsAnnual LeaveFestivity AllowanceBPJS KesehatanBPJS Tenaga Kerja,Glints,Project|ManagementRisk|ManagementTeam|ManagementProject|CoordinationProject|Planning
1776676350-5,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,"Software Developer (Java Springboot, Golang, Rust)",Pt Sigma Global Teknologi,"Jakarta Selatan, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/software-developer-java-springboot-golang-rust/53e61da4-2ab0-420c-9c13-b7ffbd9ede5c?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Requirements:1. Paham mengenai transaksi web or mobile banking2. Menguasai pemrograman Java Springboot, Golang3. Memiliki analytical thinking yang baik4. Memahami micro services5. Menguasai unit test dengan baik6. Database Knowledge (PostGreSQL)7. CI/CD Tools Knowledge (Bitbucket, Jenkins)",Job RequirementsOn-site5 - 10 years of experienceMinimum Bachelor’s Degree,SkillsSpringbootCore JavaSoftware DevelopmentJavaGo / GolangRust,Job BenefitsBPJS Tenaga KerjaTransport MoneyBPJS KesehatanFestivity AllowanceLaptop Provided,Glints,SpringbootCore|JavaSoftware|DevelopmentJavaGo|/|GolangRust
1776676353-6,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Auditor,Pt Metasia Engineering Indonesia,"Semarang, Jawa Tengah",https://glints.com/id/en/opportunities/jobs/auditor/7e52ed8c-fa4c-4188-aa5a-5a0ab1bee29a?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"PT Metasia Engineering Indonesia adalah perusahaan yang berfokus pada pengembangan teknologi dan solusi infrastruktur yang terkenal di daerah Semarang. Perusahaan ini terus berkembang dengan tujuan untuk menjadi mitra terpercaya dalam memberikan layanan yang komprehensif kepada klien. Dengan kebutuhan yang terus meningkat akan audit yang lebih efektif, kami membuka peluang bagi profesional yang ingin berkontribusi dalam pengelolaan dan penilaian kinerja serta kepatuhan perusahaan. Bergabunglah dengan tim kami di Ngaliyan, Semarang, dan ikuti perjalanan karier yang dinamis.Sebagai Auditor, Anda akan bertanggung jawab untuk melakukan audit kepatuhan dan efisiensi operasional perusahaan. Tugas utama Anda termasuk melakukan audit pajak, audit performa, audit keuangan, audit IT, audit risiko, audit keamanan, serta audit internal. Anda akan bekerja sama dengan tim lain untuk memastikan bahwa semua prosedur perusahaan mematuhi regulasi dan standar industri. Keahlian dalam bidang audit ini akan sangat berguna dalam mendukung usaha kami untuk mencapai target strategis.Kualifikasi untuk posisi ini mencakup lulusan diploma dengan pengalaman kerja antara satu hingga tiga tahun. Anda harus memiliki kemampuan dalam melakukan audit pajak, audit performa, audit keuangan, audit IT, audit risiko, audit keamanan, dan audit internal. Keterampilan ini akan membantu Anda dalam menilai kepatuhan dan efisiensi operasional perusahaan. Kami mencari individu yang tidak hanya memiliki keterampilan teknis tetapi juga kepribadian yang dapat bekerja dengan baik dalam tim dan menghadapi tantangan dengan positif. PT Metasia Engineering Indonesia berkomitmen untuk mendukung perkembangan karier Anda melalui pelatihan dan pengembangan profesional.",Job RequirementsOn-site1 - 3 years of experienceMinimum Associate Degree,SkillsSecurity AuditTax AuditInternal AuditRisk ManagementIT AuditFinancial Report AuditPerformance AuditAuditing,Job BenefitsBPJS KesehatanMeal AllowanceFestivity AllowanceTransport MoneyBPJS Tenaga Kerja,Glints,Security|AuditTax|AuditInternal|AuditRisk|ManagementIT|AuditFinancial|Report|AuditPerformance|AuditAuditing
1776676357-7,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Solution Architect - Cloud (#623),Pt Talenta Eksekutif Asia,"Jakarta Selatan, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/solution-architect-cloud-623/5cce41ae-7f81-4ecf-988f-e808e5cab9ba?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"This role requires the candidate to work in Jakarta Selatan, Indonesia.Client Overview:Our client is a leading global provider of ICT infrastructure and smart devices, the world's largest supplier of telecommunications network equipment, and the second-biggest maker of smartphones, established in 1987, and headquartered in China. It has grown to become the world’s largest supplier of telecommunications equipment and a major innovator in 5G, cloud computing, AI, and consumer electronics, with over 207,000 employees worldwide, and operates in more than 170 countries and regions. In Indonesia, it is playing a pivotal role in the country’s digital transformation through partnerships with governments, telcos, enterprises, education institutions, and other industry segments.Job Role:The Solution Architect is a high-impact Pre-Sales technical leadership role focused on driving cloud market share through architectural innovation and customer acquisition. While overseeing the transition to delivery, the primary mission is to act as the technical engine of the sales cycle, deeply analyzing large-scale enterprise environments to design winning cloud strategies.This is a performance-driven role with specific KPIs tied to revenue generation and customer acquisition. The role is responsible for securing ""technical wins"" by delivering high-stakes technical presentations, conducting successful Proof of Concept (POC) verifications, and architecting solutions that directly convert complex business requirements into closed contracts. By mastering the technical competitive landscape, the Solution Architect serves as the strategic authority that enables the organization to win against global cloud competitors.Key Responsibilities:Lead demand analysis and technical solution design to support the acquisition of large and medium-sized enterprise customers.Design and deliver high-impact technical presentations and solution proposals that highlight competitive differentiators to secure business closure.Lead Proof of Concept (POC) verification and IT-to-Cloud architecture design to demonstrate technical viability and profitability to potential clients.Collaborate with customer IT and application architects to audit existing architectures and align them with cloud capabilities.Take ownership of performance evaluations tied to sales targets, revenue goals, and successful project delivery.Stay ahead of trends in AI, IoT, and Cloud to influence customer planning and purchasing decisions through expert-level advisory.Candidate Requirements:Bachelor’s degree in Computer Science, Software Engineering, or related IT disciplines, with relevant cloud certifications (e.g., HCIA, HCIP, HCIE, or equivalent) highly advantageous.5–8 years of professional experience in technical pre-sales, solution architecture, or business development within the cloud or ICT industry, with proven success in designing, positioning, and delivering SaaS, PaaS, or Public/Private/Hybrid Cloud solutions.Deep understanding of cloud computing technologies and market ecosystems, with hands-on experience architecting, operating, or migrating enterprise-level solutions built on virtualization (compute, network, storage) and cloud-native platforms, and working knowledge of major platforms such as AWS, Azure, and Google Cloud.Professional fluency in English, with outstanding presentation skills and the ability to translate complex technical features into clear business value for C-level stakeholders.Strong business-oriented technical skills and sales mindset, capable of converting customer requirements into scalable cloud architectures and driving pre-sales success.Job Code: #623",Job RequirementsOn-site5 - 10 years of experienceMinimum Bachelor’s Degree,SkillsRevenue-driven StrategyStrategic ThinkingEnterprise EngagementCloud Solution ArchitectureCommunication Skills,nan,Glints,Revenue-driven|StrategyStrategic|ThinkingEnterprise|EngagementCloud|Solution|ArchitectureCommunication|Skills
1776676361-8,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Software Qa Manual,Geekgarden,"Kab. Sleman, Di Yogyakarta",https://glints.com/id/en/opportunities/jobs/software-qa-manual/e3c98c61-0869-4749-8d4f-24a8f3b43bb1?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Job ResponsibilitiesReview requirements, specifications and technical design documents to provide timely and meaningful feedbackCreate detailed, comprehensive and well-structured test plans and test casesEstimate, prioritize, plan and coordinate testing activitiesIdentify, record, document thoroughly and track bugsPerform thorough regression testing when bugs are resolvedDevelop and apply testing processes for new and existing products to meet client needsMonitor debugging process resultsTrack quality assurance metrics, like defect densities and open defect countsStay up-to-date with new testing tools and test strategies Job RequirementsBachelor degree in Computer Science / Computer Software Engineering / Information System/ Math / Physics / ElectronicsMinimum 2 years experience as Software Quality AssuranceProven work experience in software quality assuranceHands-on experience with manual and automated testing toolsStrong knowledge of software QA methodologies, tools and processesExperience in writing clear, concise and comprehensive test plans and test casesHands-on experience with both white box and black box testingHands-on experience with API testing toolsSolid knowledge of SQL and scriptingExperience working in an Agile/Scrum development processWilling to work with project-based contractWilling to work onsite in YogyakartaWilling to join immediately",Job RequirementsOn-site1 - 3 years of experienceMinimum Bachelor’s Degree,SkillsBlack Box TestingWhite Box TestingAgile MethodologiesManual Testing,Job BenefitsBPJS KesehatanBPJS Tenaga KerjaFestivity Allowance,Glints,Black|Box|TestingWhite|Box|TestingAgile|MethodologiesManual|Testing
1776676364-9,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Back End Programer & Mobile Program,Pt Quantum Nusatama,"Jakarta Pusat, Dki Jakarta",https://glints.com/id/en/opportunities/jobs/back-end-programer-and-mobile-program/2e5e9ef2-d2ee-4050-a055-3ce308c238d8?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Pendidikan D3-S1Usia Maksimal 35thMemiliki Pengalaman Membuat Full Stack Program & DevelopmentMemiliki Pengalaman Membuat Interactive Mobile Apk (React Native & Flutter)Memahami Konsep dan Implementasi MVC, MVVMMemahami dengan baik REST API CONSUMPTION, HTTP REQUESTTerbiasa Menggunakan GIT atau Versi Control LainnyaBisa Bekerja Sama dalam Tim dan Komunikasi yang BaikMenguasai Bahasa Programming PHP, SQL, Javascript (Nilai Tambah)",Job RequirementsOn-site1 - 3 years of experienceMinimum Associate Degree20-34 years old,SkillsIT SupportTroubleshootingHelp DeskHardware MaintenanceTechnical SupportTicketing SystemNetwork Troubleshooting,Job BenefitsBPJS KesehatanNear Public TransportBPJS Tenaga KerjaFestivity AllowanceCareer PathAnnual Leave,Glints,IT|SupportTroubleshootingHelp|DeskHardware|MaintenanceTechnical|SupportTicketing|SystemNetwork|Troubleshooting
1776676368-10,https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces,Admin Marketplace & Media Sosial,Cv Poty Teknologi Pertanian,"Malang, Jawa Timur",https://glints.com/id/en/opportunities/jobs/admin-marketplace-and-media-sosial/7d9c3d34-53c5-40e5-a8cf-4a3f9edb1add?utm_referrer=explore&traceInfo=1afa74f4fca4861e5d1bc711217ce7ab,"Posisi pekerjaan admin marketplace di antaranya : 1. CS di marketplace dan media sosial 2. Entry data informasi produk, harga, dan toko 3. Mengatur promo dan campaign marketplace 4. Laporan mingguan, bulanan, dan tahunan 5. Membantu operasional toko jika dibutuhkan 6. Operasional 3 Toko Online",Job RequirementsOn-site1 - 3 years of experienceMinimum Senior/Vocational High School18-25 years oldFemale only,SkillsGive it a try! - 1 of 9 skills match your profileMicrosoft ExcelOrganizational SkillsMicrosoft OfficeOffice AdministrationCustomer ServiceGoogle SheetsData EntryGoogle DocsAdministration,Job BenefitsFestivity AllowancePerformance Bonus,Glints,Give|it|a|try!|-|1|of|9|skills|match|your|profileMicrosoft|ExcelOrganizational|SkillsMicrosoft|OfficeOffice|AdministrationCustomer|ServiceGoogle|SheetsData|EntryGoogle|DocsAdministration
