web_scraper_order,web_scraper_start_url,job_title,company,location,job_detail,description,requirements,Skills,job_benefits
"1779119510-1","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Analis SEO","PT Sehat Bahagia Seutuhnya","Bandung, Jawa Barat","https://glints.com/id/opportunities/jobs/analis-seo/e761d77f-d9b7-4139-9df6-c4eaaed24b6e?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","We're HiringSEO SpecialistKami mencari Tim Hebat yang mau bergabung di Klinik Passion Dental Care dengan Value We Serve With Love, Passion and CareJadilah bagian dari Tim Hebat kami, dengan syarat:Melakukan riset kata kunci dan menyusun Strategi SEO.Melakukan optimasi SEO On-page (meta tags, struktur konten, internal linking, dll).Melakukan SEO Off-page (backlink strategy, outreach, dsb).Melakukan audit teknis website dan memberikan rekomendasi perbaikan.Monitoring performa website menggunakan Google Analytics, Google Search Console, dan tools lainnya.Membuat laporan perkembangan traffic organik, ranking keyword, dan performa SEO.Berkolaborasi dengan tim konten, developer & marketing.Kualifikasi:Minimal 1–2 tahun pengalaman sebagai SEO Specialist.Menguasai tools seperti Google Analytics, Google Search Console, Ahrefs, SEMrush, Screaming Frog, dll.Memahami dasar-dasar HTML, CSS (lebih baik).Familiar dengan CMS (WordPress, Shopify, atau lainnya).Mengusai Generative Engine Optimization (GEO) / Answer Engine Optimization (AEO)Memahami teknik copywriting SEO.Terbiasa bekerja berdasarkan target dan KPI.BENEFIT:Gaji kompetitifLingkungan kerja profesionalTHR & BPJSBonus KPIKesempatan berkembang","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)22-40 tahun","SkillsCoba lanjut melamar - 1 dari 7 dimilikiTeamworkGenerative Engine Optimization (geo)Answer Engine Optimization (aeo)Web DevelopmentGoogle AnalyticsGoogle Search ConsoleSearch Engine Optimization (SEO)","Benefit KerjaWork InsuranceTraining/CertificationTransport MoneyHealth InsuranceTHRSales CommissionCareer PathPerform Bonus"
"1779119512-2","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Sekretaris","PT SKIZZLE UTAMA PARIPURNA","Jakarta Selatan, DKI Jakarta","https://glints.com/id/opportunities/jobs/sekretaris/73795261-1663-44b8-9687-b4e296433b03?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Posisi yang kami tawarkan adalah sebagai Sekretaris Group Motor yang dikepalai oleh Owner Klinik Skizzle.
Kandidat yang lolos akan bekerja secara online dan bersedia mengikuti agenda touring yang akan dilakukan oleh MedDocs.
Untuk proses interview posisi ini akan dilakukan di luar kantor dan akan diinfokan saat panggilan Interview oleh HRD.JOB DESCRIPTION1. TUJUAN JABATANMengelola administrasi, komunikasi, dan koordinasi kegiatan Group Moge Medoc secara tertib, terstruktur, serta mendukung kelancaran operasional komunitas dan kegiatan touring.2. TUGAS & TANGGUNG JAWABA. ADMINISTRASI ORGANISASI* Menyusun dan mengelola data anggota (database member)* Membuat dan mengarsipkan:  * Notulen rapat  * Surat undangan  * Surat keputusan internal  * Dokumentasi kegiatan* Menyusun kalender kegiatan komunitas (touring, gathering, event sosial)B. KOORDINASI KEGIATAN* Mengatur jadwal rapat pengurus dan anggota* Mengkoordinasikan kegiatan:  * Touring (lokal maupun luar kota)  * Event komunitas  * Kegiatan sosial* Menjadi penghubung antara ketua, pengurus, dan anggotaC. KOMUNIKASI INTERNAL & EKSTERNAL* Menyampaikan informasi resmi kepada anggota (via WhatsApp, email, dll)* Mengelola komunikasi dengan pihak eksternal:  * Sponsor  * Komunitas moge lain  * Event organizer* Menjaga citra dan profesionalitas komunikasi komunitasD. DOKUMENTASI & PELAPORAN* Menyusun laporan kegiatan secara berkala* Mengarsipkan foto, video, dan dokumen kegiatan* Menyiapkan laporan untuk ketua dan pengurusE. SUPPORT OPERASIONAL TOURING* Menyusun rundown kegiatan touring* Mengkoordinasikan daftar peserta* Membantu pengaturan logistik (akomodasi, rute, checkpoint)* Berkoordinasi dengan tim safety / road captainF. PENGELOLAAN SURAT MENYURAT* Membuat surat resmi:  * Permohonan kerja sama  * Undangan event  * Surat pemberitahuan* Mengarsipkan seluruh surat masuk & keluar3. WEWENANG* Mengatur jadwal rapat dan kegiatan administratif* Mengakses dan mengelola data anggota* Mewakili komunikasi administratif atas nama komunitas (dengan persetujuan ketua)* Mengusulkan perbaikan sistem administrasi komunitas4. HUBUNGAN KERJAInternal:* Ketua komunitas* Pengurus inti (wakil, bendahara, road captain)* Seluruh anggotaEksternal:* Sponsor / brand* Event organizer* Komunitas motor lain* Instansi terkait (jika kegiatan besar)5. KOMPETENSI UMUM* Komunikasi yang baik dan jelas* Teliti dan rapi dalam administrasi* Disiplin dan bertanggung jawab* Mampu bekerja dalam tim6. KOMPETENSI TEKNIS* Penguasaan Microsoft Office / Google Workspace* Kemampuan membuat surat resmi* Manajemen data & arsip* Koordinasi event / kegiatan7. KETERAMPILAN (SKILLS)* Organizing & planning* Multitasking* Time management* Problem solving (khusus saat event/touring)","PersyaratanHybrid1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)19-28 tahunPerempuan saja","SkillsOrganizational SkillsGoogle SheetsSecretarial SkillsAdministrationSchedulingMicrosoft OfficeCommunication Skills","Benefit KerjaPerform Bonus"
"1779119515-3","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","ADMINISTRASI EDP","Jayanata Beauty Plaza","Surabaya, Jawa Timur","https://glints.com/id/opportunities/jobs/administrasi-edp/7e381249-fd67-4a75-8730-23beaea9c96c?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Memasukkan data mentah ke sistem, memverifikasi keakuratannya, dan mengolahnya menjadi data yang akurat, terkini, dan terorganisirMelaksanakan fungsi administrasi berupa pencatatan, penyimpanan dan pemeliharaan dokumen fisik dan digitalBerkoordinasi dengan department lain terkait transaksi keuangan dan alur penerimaan barangKualifikasi Pekerjaan•	Wanita, usia maksimal 35 tahun•	Pendidikan minimal D3 segala jurusan dari perguruan tinggi swasta / negeri•	Berpengalaman dibidang administrasi EDP minimal 2 (dua) tahun•	Berpengalaman membuat termasuk menangani laporan jurnal & transaksi keuangan•	Menguasai program SAP & software akuntansi•	Dapat mengoperasikan Microsoft Office terutama Microsoft Excel•	Terbiasa berkoordinasi dengan department lain & bekerja dengan deadline•	Memiliki kemampuan analisa yg baik, teliti & detail•	Bertanggung jawab, jujur & disiplin•	Dinamis & dapat bekerjasama dalam tim maupun mandiri•	Tidak sedang menempuh pendidikan, baik formal maupun informalKirimkan berkas lamaran lengkap Anda serta nomor telepon aktif yang bisa dihubungi (bukan nomor WA) dari telepon kantor kami, ke :HRD JAYANATAJayanata Beauty PlazaJl. Mawar nomor 4-6 Surabaya","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)25-35 tahunPerempuan saja","SkillsCoba lanjut melamar - 1 dari 6 dimilikiMicrosoft ExcelSAPOffice AdministrationSoftware AkuntansiLaporan JurnalData Entry",""
"1779119517-4","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","F&B Finance Admin","PT. RASA KULINER INDONESIA","Bandung, Jawa Barat","https://glints.com/id/opportunities/jobs/f-and-b-finance-admin/700f0b7c-575a-4a8e-b1b8-a061aaeb6d8c?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Tanggung Jawab UtamaMengelola pendataan dan administrasi finance outlet/perusahaan secara rapi dan terstruktur.Mengontrol dan memonitor aset operasional perusahaan.Membuat serta merekap jurnal dan laporan keuangan harian, mingguan, dan bulanan.Memastikan seluruh data finance dan asset sesuai dengan operasional perusahaan.Melakukan pengarsipan dokumen finance dan asset secara berkala.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK","SkillsCoba lanjut melamar - 1 dari 8 dimilikiMicrosoft ExcelAsset ManagementAdministrationGoogle DocsData EntryMicrosoft OfficeGoogle SheetsOffice Administration","Benefit KerjaTransport MoneyMeal Allowance"
"1779119520-5","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Staff HRD","PT Karsa Madani Indonesia (Syarihub)","Surabaya, Jawa Timur","https://glints.com/id/opportunities/jobs/staff-hrd/2b3b51f3-c9d7-4642-8d99-afe75705eb1f?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","KualifikasiMinimal pendidikan S1 Psikologi / Manajemen SDM / atau jurusan relevanMemiliki pengalaman di bidang HR atau SDM menjadi nilai tambahMemahami dasar proses rekrutmen, administrasi karyawan, dan pengelolaan data SDMTerbiasa menggunakan Google Workspace (Docs, Sheets, Drive) dan tools administrasi onlineTeliti, rapi, komunikatif dan mampu mengelola dokumen dengan baikMampu bekerja secara sistematis dan menjaga kerahasiaan data perusahaanMemiliki inisiatif, tanggung jawab, dan kemampuan problem solving yang baikMemahami penggunaan KPI atau sistem evaluasi kerja menjadi nilai tambahDeskripsi PekerjaanMengelola proses administrasi dan operasional HR dengan rapiMelakukan proses rekrutmen secara end to endMengelola proses evaluasi, dan manajemen performa karyawanMengelola dan memantau pelaksanaan evaluasi kinerja, KPI, dan kebutuhan administrasi HR lainnyaBerkoordinasi dengan divisi terkait terkait kebutuhan SDM dan operasional HRMengurus administrasi BPJS KetenagakerjaanMelaporkan progres pekerjaan pada daily dan monthly meeting","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal Sarjana (S1)21-30 tahunPerempuan saja","SkillsTraining And DevelopmentProblem SolvingPayrollAdministrationHuman Resource Development (HRD)Google SheetsRecruitment","Benefit KerjaPerform BonusTHR"
"1779119523-6","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Admin E Commerse","PT. Wahana Baja","Tangerang Selatan, Banten","https://glints.com/id/opportunities/jobs/admin-e-commerse/bcbcfb93-3abc-45e3-95e6-89407bf0a320?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Sebagai Admin E-Commerce di PT. Wahana Baja, Anda akan bertanggung jawab atas pengelolaan transaksi online, peningkatan pengalaman pelanggan, dan manajemen data pemasaran. Beberapa tugas utama Anda akan meliputi:- Mengelola platform e-commerce untuk memastikan semua transaksi berjalan lancar.- Menyediakan dukungan pelanggan yang efektif melalui saluran online.- Menganalisis data penjualan untuk mendukung strategi bisnis perusahaan.- Membantu dalam perencanaan kampanye pemasaran digital dan sosial media.- Melakukan tugas administratif yang berkaitan dengan operasional perusahaan.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)22-35 tahun","SkillsCoba lanjut melamar - 1 dari 7 dimilikiMicrosoft ExcelOffice AdministrationCustomer ServiceGoogle SheetsE-commerceSocial MediaAdministration","Benefit KerjaAnnual LeaveCareer PathSales CommissionHealth InsuranceTHRTransport Money"
"1779119525-7","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Store Operations Admin","TokoPDL Padel Shop","Tangerang Selatan, Banten","https://glints.com/id/opportunities/jobs/store-operations-admin/b90866dc-b917-47ab-b32d-1aa442fe612e?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","TokoPDL adalah toko spesialis perlengkapan padel (offline & online) yang sedang berkembang. Kami mencari Store Operations Admin yang detail-oriented, sistematis, dan memahami alur operasional jual beli retail & e-commerce.Role ini berfokus pada operasional, inventory, dan sistem, dengan tambahan interaksi customer di store.________________________________________Tanggung Jawab•	Mengelola transaksi harian toko (EDC, transfer, dll) dengan akurat •	Input dan maintain data penjualan & inventory di sistem (real-time & rapi) •	Monitor barang masuk/keluar dan memastikan stok selalu up-to-date •	Proses order yang sudah di confirm dan koordinasi dengan tim logistik •	Menjawab inquiry dari WhatsApp Business, Instagram, dan channel lainnya •	Membantu memastikan operasional toko berjalan rapi dan efisien ________________________________________Kualifikasi•	Pengalaman di admin operasional / admin kantor / retail operations •	Familiar dengan sistem seperti Accurate Online, Paper.id, atau sejenis •	Paham flow pembelian, penjualan, dan inventory •	Teliti, rapi, dan terbiasa kerja dengan data & angka •	Komunikatif dan nyaman handle customer (offline & online) •	Mampu multitask antara operasional & customer-facing role •	Bersedia kerja offline di Alam Sutera (6 hari / ±40 jam) ________________________________________Nilai Tambah•	Background office admin / finance admin •	Pengalaman di e-commerce / retail hybrid business","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)","SkillsCoba lanjut melamar - 1 dari 6 dimilikiMicrosoft ExcelGoogle SheetsInventory ManagementData EntryOffice AdministrationPostal Application (Point of Sales)","Benefit KerjaTHRPerform BonusCareer Path"
"1779119528-8","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Supervisor Sales","PT. WIJAYA PRAWIRA PERKASA","Kab. Jember, Jawa Timur","https://glints.com/id/opportunities/jobs/supervisor-sales/5f1dabbf-9d4a-4c4d-aa1c-2dcbbff7eb71?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Kualifikasi:Pendidikan minimal D3/S1Pengalaman minimal 4–6 tahun di bidang sales, dengan min. 2 tahun sebagai Supervisor/Team Leader.Memiliki rekam jejak pencapaian target (proven track record) yang terukur.Memiliki kemampuan leadership kuat, termasuk coaching, mentoring, dan performance management tim.Mampu menyusun dan mengeksekusi strategi penjualan berbasis data dan analisa pasar.Menguasai negosiasi tingkat lanjut dan terbiasa menangani klien korporat (B2B lebih diutamakan).Berintegritas tinggi, disiplin, tegas dalam pengambilan keputusan, dan mampu bekerja di bawah tekanan target.Bersedia mobile/kunjungan pelanggan serta memiliki SIM A/C aktif menjadi nilai tambah.","PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal Sarjana (S1)","SkillsCommunication SkillsSales StrategySales and MarketingLeadershipCustomer Relationship Management","Benefit KerjaTHRWork InsuranceTransport MoneyHealth InsuranceAnnual LeaveSales Commission"
"1779119531-9","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Accounting Estate Management Internship","PT. Graha Bahagia Utama","Kab. Sidoarjo, Jawa Timur","https://glints.com/id/opportunities/jobs/accounting-estate-management-internship/ea982dd9-a8eb-457f-8a53-4adabbdb8c53?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","JOB DESCRIPTION :1. Melakukan penginputan data dari Rekening Indo Estate ke Eces2. Melakukan perapian pemberkasan dokumen BAST userKUALIFIKASI :1. Memiliki background Accounting2. Terbuka untuk Fresh Graduate3. Mampu bekerja mandiri maupun dalam tim","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal Sarjana (S1)18-24 tahunPerempuan saja","SkillsCoba lanjut melamar - 1 dari 8 dimilikiMicrosoft ExcelIncome TaxTax AccountingBookkeepingAccountingAccounts PayableFinancial AnalysisAccounts Receivable",""
"1779119533-10","https://glints.com/id/opportunities/jobs/explore?keyword=Data+Analyst&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1","Content Creator & Personal Assistant","PT Sanirasa Pangan Indonesia (BUYNANA Chips)","Kab. Bogor, Jawa Barat","https://glints.com/id/opportunities/jobs/content-creator-and-personal-assistant/8af6816b-2a39-4061-a4e9-300d3e804b32?utm_referrer=explore&traceInfo=dd18f8eacdcfe07b1bba9cdcc41de321","Content Creator & Personal Assistant**Penempatan: Parung, BogorTujuan JabatanMendukung kegiatan profesional pimpinan/perusahaan melalui pembuatan konten digital yang kreatif serta menjalankan fungsi Personal Assistant secara terorganisir, responsif, dan terpercaya.Tanggung Jawab UtamaA. Content CreatorMerancang, membuat, dan mengedit konten digital (foto, video, reels, story, dan caption) untuk media sosial.Mengelola kalender konten dan memastikan konsistensi posting sesuai jadwal.Mengikuti tren media sosial dan menyesuaikannya dengan branding pribadi/perusahaan.Melakukan pengambilan gambar/video (shooting) untuk kebutuhan konten.Menyusun konsep konten edukatif, informatif, dan promosi.Melakukan evaluasi performa konten (reach, engagement, views).Menjaga citra, nilai, dan reputasi personal branding pimpinan/perusahaan.B. Personal AssistantMengatur dan mengelola jadwal harian pimpinan (meeting, Zoom, agenda pribadi dan profesional).
Mengerjakan pekerjaan teknis sesuai arahan pimpinan.Mengingatkan jadwal penting serta memastikan agenda berjalan tepat waktu.Menyiapkan kebutuhan meeting (online/offline), termasuk materi dan follow-up.Menangani komunikasi dasar pimpinan (chat, email, telepon) sesuai arahan.Melakukan pencatatan, pengarsipan dokumen, dan laporan kegiatan.Menjadi penghubung antara pimpinan dengan tim internal maupun pihak eksternal.Menjaga kerahasiaan data, informasi, dan agenda pimpinan.KualifikasiPendidikan minimal SMA/SMK.Menguasai pembuatan konten media sosial (foto & video).Terbiasa menggunakan tools editing (CapCut, Canva, Lightroom, atau sejenis).Aktif dan up-to-date dengan tren media sosial.Memiliki kemampuan komunikasi yang baik dan sopan.Rapi, cekatan, disiplin, dan memiliki manajemen waktu yang baik.Bersedia bekerja mobile dan fleksibel waktu.Berdomisili atau bersedia bekerja di Parung, Bogor.Karakter yang DibutuhkanKreatif dan inisiatif tinggi.Loyal, amanah, dan dapat dipercaya.Detail oriented dan multitasking.Mampu bekerja di bawah tekanan.
Ceria.Indikator Kinerja (KPI)Konsistensi dan kualitas konten yang diproduksi.Pertumbuhan engagement media sosial.Ketepatan pengelolaan jadwal pimpinan.Kerapihan administrasi dan laporan.Kepuasan pimpinan terhadap dukungan kerja.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK18-28 tahunPerempuan saja","SkillsImage EditingContent PlanningContent OperationsContent WritingTikTokContent MarketingContent StrategyGoogle AnalyticsCreative WritingContent Editing","Benefit KerjaTeam-building eventsTHREmployee AwardCareer Path"
