web_scraper_order,web_scraper_start_url,job_title,company,location,job_detail,description,requirements,Skills,job_benefits
"1779199272-1","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Project Engineer","PT Diaspora Cakrawala Bhakti","Jakarta Pusat, DKI Jakarta","https://glints.com/id/opportunities/jobs/project-engineer/4b1e33d0-ffbc-4b8f-8197-41dcaffb9161?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Membantu koordinasi dan monitoring project dengan klien;Membantu mempersiapkan dokumen project;Mempelajari regulasi yang berkaitan dengan kebutuhan project","PersyaratanHybrid1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)24-30 tahun","SkillsCoba lanjut melamar - 1 dari 6 dimilikiTeamworkMicrosoft OfficeISO 9001 2015Active LearningCommunication SkillsRegulatory Compliance","Benefit KerjaTHRPerform Bonus"
"1779199275-2","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Site engineer","Raja Renov","Jakarta Barat, DKI Jakarta","https://glints.com/id/opportunities/jobs/site-engineer/cd402a74-4efd-48a5-995a-3f954dadd3ee?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","🚧 WE ARE HIRING 🚧RAJA RENOV membuka lowongan untuk posisi:👷‍♂️ SITE ENGINEER / SUPERVISORKriteria:• Laki-laki usia 20–35 tahun• Minimal lulusan SMK, D3 Teknik Sipil, S1 Teknik Sipil/Arsitek• Memiliki jiwa kepemimpinan / leadership• Terbiasa kerja lapangan• Bisa menghitung RAB• Bisa membaca gambar kerja• Menguasai AutoCAD menjadi nilai tambah• Memiliki kendaraan pribadi & SIM C✨ Kesempatan berkembang dan bergabung bersama tim profesional di bidang konstruksi.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK","SkillsCivil EngineeringStructural BIMAutoCAD","Benefit KerjaMeal Allowance"
"1779199277-3","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","(Project) Teknisi Mesin Digital","Penerbit Deepublish","Kab. Sleman, DI Yogyakarta","https://glints.com/id/opportunities/jobs/project-teknisi-mesin-digital/17298ba9-f4ac-48f2-b5da-426e29c30824?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Kualifikasi :Pendidikan minimal SMK atau Diploma (D3) jurusan yang sesuai.Berpengalaman sebagai Teknisi Mesin Digital Printing (memahami mesin offset digital atau mesin cetak format besar/indoor-outdoor).Memiliki kemampuan analisis masalah (problem solving) yang tajam dan kemauan untuk terus belajar mengikuti perkembangan teknologi digital printing terbaru.Mampu bekerjasama dengan tim Penempatan : Sleman, YogyakartaDeskripsi Kerja : Melakukan pemeliharaan preventif (maintenance) rutin pada seluruh mesin cetak digital dan pendukungnya untuk memastikan performa optimal serta meminimalisir waktu henti (downtime).Melakukan diagnosis, troubleshooting, dan perbaikan cepat terhadap kendala teknis, baik dari sisi mekanis maupun sistem elektrikal mesin produksi.Mengelola kalibrasi warna dan presisi cetak secara berkala guna menjamin kualitas output produksi sesuai dengan standar tinggi BU Printing & Packaging.Membuat laporan teknis berkala dan memberikan rekomendasi inovasi terkait efisiensi penggunaan suku cadang serta pembaruan teknologi mesin.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK","SkillsMachine OperatorEquipment MaintenanceMechanical Engineering","Benefit KerjaFree MealsOvertime Pay"
"1779199280-4","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Teknisi Mold","PT CAHAYA MURNI CENTRAL JAVA","Semarang, Jawa Tengah","https://glints.com/id/opportunities/jobs/teknisi-mold/f6130c6c-335c-403f-81db-f75653d5b5be?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Kualifikasi :1. Pendidikan minimal SMK Jurusan Teknik Mesin2. Dapat menggunakan las listrik, las argon serta gerinda tangan3. Bersedia bekerja secara shift","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal SMA/SMK","SkillsEquipment MaintenancePreventive MaintenanceMechanical Maintenance","Benefit KerjaHealth InsuranceWork InsuranceAnnual Leave"
"1779199283-5","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Staff/ Junior Teknik Sipil","PT.BAHTERA ANUGERAH TIARA UTAMA","Surabaya, Jawa Timur","https://glints.com/id/opportunities/jobs/staff-junior-teknik-sipil/8da820f6-3cc6-42a9-a02d-6674ca6e7f32?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","PT Bahtera Anugerah Tiara Utama is HiringJobdesk:- Membantu perencanaan dan pelaksanaan pr- Mengawasi pekerjaan di lapangan- Membuat laporan harian & mingguan- Koordinasi dengan tim proyekKualifikasi:- Pria / Wanita- Pendidikan D3/S1 Teknik Sipil- Fresh graduate dipersilakan melamar- Menguasai AutoCAD (nilai tambah: SAP200- Mampu bekerja secara tim maupun individ- Bersedia ditempatkan di lapangan/proyek- Penempatan Batu - Surabaya","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)","SkillsAutoCADCivil EngineeringStructural BIM",""
"1779199285-6","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Teknisi area (Banjarmasin, Tanah Bumbu)","Confidential Company","Kab. Tanah Bumbu, Kalimantan Selatan","https://glints.com/id/opportunities/jobs/teknisi-area-banjarmasin-tanah-bumbu/ab7e8b6e-798c-40f7-ab52-ecdd1848457c?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Posisi : TeknisiTugas dan Tanggung Jawab :-	Melakukan instalasi, pemasangan, serta perawatan sistem kelistrikan dan panel arus pendek sesuai standar yang berlaku-	Melaksanakan pemeriksaan rutin untuk memastikan sistem listrik berfungsi dengan baik dan aman digunakan-	Melakukan perbaikan (troubleshooting & repair) apabila terjadi kerusakan, korsleting, atau gangguan pada jaringan Listrik-	Menjaga dan memastikan seluruh pekerjaan sesuai dengann prosedur K3 (Keselamatan dan Kesehatan Kerja)-	Menguji hasil instalasi atau perbaikan untuk memastikan kelistrikan berfungsi normal dan stabil-	Membuat laporan teknis terkait hasil pekerjaan, kondisi peralatan, serta rekomendasi tindakan perbaikan atau penggantian komponen-	Bertanggung jawab atas penggunaan peralatan kerja, material dan suku cadang dengan efektif dan efisien.-	Mendukung kebutuhan teknis perusahaan yang berkaitan dengan sistem kelistrikan, baik untuk operasional harian maupun proyek khusus.","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal SMA/SMK","SkillsElectrical MaintenanceMaintenance EngineeringPreventive MaintenanceMechanical Maintenance","Benefit KerjaMeal AllowanceTHRTransport MoneyWork InsuranceHealth Insurance"
"1779199288-7","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Staff Engineering","PT. Sinergi Metalin Indonesia","Bekasi, Jawa Barat","https://glints.com/id/opportunities/jobs/staff-engineering/4c0c1499-5566-456e-82b5-1ff8f5c78a5f?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","PT. Sinergi Metalin Indonesia adalah perusahaan yang bergerak di bidang manufaktur, khususnya dalam pengerjaan besi beton. Dengan pengalaman dalam pengerjaan besi beton, kami terbiasa menggunakan berbagai jenis mesin mulai dari yang sederhana hingga yang canggih. Tim teknis kami yang terdiri dari para ahli adalah salah satu kekuatan kami dalam menyediakan layanan terbaik dan berkualitas.Keberadaan perusahaan kami di daerah Bekasi, yang dikenal sebagai area industri di Indonesia, memungkinkan kami untuk mendekatkan diri dengan pasar dan memberikan layanan serta produk yang lebih baik. Kami melayani pesanan dari wilayah Jakarta, Bogor, Tangerang, Bekasi, dan seluruh Indonesia.Kami sedang mencari orang yang memiliki dedikasi tinggi untuk posisi Staff Engineering. Posisi ini adalah peluang besar bagi Anda yang ingin berkembang dalam industri manufaktur dan memahami pentingnya kerja sama tim dalam mencapai hasil yang optimal. Dengan lokasi strategis di Bantar Gebang, Bekasi, Anda akan mendapatkan akses yang mudah untuk bekerja dengan klien di berbagai wilayah di Indonesia.Tugas utama seorang Staff Engineering dapat Membaca gambar teknik,Mengoperasikan autocad dan solidworks,Merancang cabinet, backwallc furniture, dan sebagainya.. Anda juga harus dapat bekerja sama dengan tim untuk memastikan semua proses menggambar selesai dengan waktu yang ditentukan. Untuk melamar posisi ini, Anda harus memenuhi beberapa persyaratan berikut. Anda harus memiliki pendidikan minimal SMA/SMK dan memiliki pengalaman kerja antara satu hingga tiga tahun di bidang maintenance engineering. Keahlian yang dibutuhkan termasuk maintenance engineering, teamwork, AutoCAD, desain grafis, dan SolidWorks. PT. Sinergi Metalin Indonesia menghargai keterampilan dan pengalaman Anda, tetapi kami juga membuka kesempatan bagi para profesional yang ingin berkembang dan berkontribusi pada perkembangan perusahaan kami.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK18-35 tahun","SkillsCoba lanjut melamar - 1 dari 6 dimilikiTeamworkAutoCADGraphic DesignSolidWorksMaintenance EngineeringElectrical Maintenance","Benefit KerjaWork InsuranceHealth InsuranceMeal AllowanceCareer PathTHR"
"1779199290-8","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Admin Gudang","CV Rajawali Teknologi Indonesia","Denpasar, Bali","https://glints.com/id/opportunities/jobs/admin-gudang/4190cb49-b3ca-48a1-8852-d5f06bfe8c1d?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Bertanggung jawab atas pengelolaan administrasi arus keluar-masuk barang, pemeliharaan akurasi data stok, serta memastikan koordinasi yang efektif antara operasional gudang dan departemen terkait lainnya untuk mendukung kelancaran rantai pasok perusahaan.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal SMA/SMK","SkillsCoba lanjut melamar - 1 dari 3 dimilikiMicrosoft ExcelAdministrationMicrosoft Office","Benefit KerjaWork InsuranceCareer PathTHRHealth InsuranceLaptop Provided"
"1779199293-9","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","ESTIMATOR (URGENT)","Jena Architect","Denpasar, Bali","https://glints.com/id/opportunities/jobs/estimator-urgent/c37c95da-5725-4047-a2ec-7667d15130dd?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Syarat :- Perempuan/laki-laki- Lulusan  Diploma / S1 teknik sipil - Menguasai Ms Excel, auto CAD, sketch up- Mampu menyusun BOQ dan Jadwal Pelaksanaan Project - Mampu negosiasi Vendor- Mampu melakukan pengukuran atau cek lokasi project - Mampu bekerja dalam tim dan memiliki komunikasi yang baik- Mampu berbahasa inggris, lisan maupun tulisan- Teliti, dan mampu bekerja berdasarkan standar perusahaan - Mampu memecahkan masalah & siap berada dibawah tekanan- Maksimal usia 35 tahun - Minimal berpengalaman 1-3 tahun","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)","SkillsCoba lanjut melamar - 1 dari 3 dimilikiMicrosoft ExcelSAPteliti","Benefit KerjaCareer PathWork InsuranceTHRHealth Insurance"
"1779199296-10","https://glints.com/id/opportunities/jobs/explore?keyword=programmer&country=ID&locationName=All+Cities%2FProvinces","Electrical Engineer","Geni Buana Nusantara","Jakarta Pusat, DKI Jakarta","https://glints.com/id/opportunities/jobs/electrical-engineer/0f110c5b-1569-4c09-9073-0bdecd854c58?utm_referrer=explore&traceInfo=414cdf7e57c2682365cf10237225db7c","Kualifikasi:Pendidikan min. S1 Teknik Elektro.Pengalaman 1–2 tahun di proyek kelistrikan / pembangkit listrik / instalasi MEP.Fresh graduate welcome to applyMenguasai software engineering (AutoCAD, ETAP).Memahami standar teknis kelistrikan (PUIL/IEC) dan mampu membaca Single Line Diagram (SLD).Bersedia ditempatkan di Jabodetabek dan traveling ke site di luar Jabodetabek selama durasi proyek.Jobdesk Singkat:Mendukung desain sistem kelistrikan, mencakup desain jaringan distribusi, sistem pembangkit, serta analisis sistem tenaga (load flow, short circuit, dll).Melakukan supervisi pekerjaan kelistrikan/MEP di lapangan agar sesuai dengan desain dan standar teknis.Membantu penyusunan laporan technical assessment dan studi kelistrikan untuk proyek energi dan industri.","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal Sarjana (S1)","SkillsMechanical and Electrical BIMElectrical InstallationElectrical AssemblyElectrical DesignElectrical EngineeringElectrical WiringElectrical Performance TestElectrical Maintenance",""
