web_scraper_order,web_scraper_start_url,job_title,company,location,job_detail,description,requirements,Skills,job_benefits
"1779113319-1","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","FAT (Finance, Accounting & Tax) Supervisor","PT Mico International Technology","Surabaya, Jawa Timur","https://glints.com/id/opportunities/jobs/fat-finance-accounting-and-tax-supervisor/9d2952fd-f105-43e0-b201-feafad3af8fd?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Tugas:Mengawasi pengelolaan arus kas (cash flow) harian dan bulanan.Mengontrol pembayaran kepada vendor dan penerimaan dari customer.Memastikan kecukupan dana operasional perusahaan.Menyusun dan memonitor anggaran (budgeting).Melakukan analisa laporan keuangan untuk manajemen.Mengontrol biaya operasional agar sesuai anggaran.Mengawasi pencatatan jurnal transaksi keuangan.Memastikan proses closing bulanan dan tahunan tepat waktu.Mereview laporan keuangan (Neraca, Laba Rugi, Arus Kas).Mengawasi rekonsiliasi bank dan piutang.Menjaga kelengkapan serta kerapihan dokumen keuangan.Berkoordinasi dengan auditor internal dan eksternal.Mengawasi perhitungan dan pelaporan PPN serta PPh (21, 23, 25, dll.).Memastikan pelaporan SPT Masa dan Tahunan tepat waktu.Melakukan tax review dan tax planning.Menangani pemeriksaan pajak jika diperlukan.Memastikan kepatuhan terhadap regulasi dari Direktorat Jenderal Pajak.Kualifikasi:Pendidikan minimal S1 Akuntansi / Keuangan.Pengalaman minimal 3–5 tahun di bidang Finance, Accounting, dan Tax.Memahami regulasi perpajakan dan standar akuntansi Indonesia.Menguasai software akuntansi.Teliti, detail, analitis, dan memiliki kemampuan leadership.","PersyaratanKerja di lokasi3 - 5 tahun pengalamanMinimal Sarjana (S1)","SkillsCoba lanjut melamar - 1 dari 6 dimilikiMicrosoft ExcelBookkeepingTax AccountingAccountingIncome TaxFinancial Analysis","Benefit KerjaSales CommissionPerform BonusNear Public TransportTransport MoneyTHRCareer Path"
"1779113321-2","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","TENDER ADMIN","Putera Rawan Perkasa","Jakarta Selatan, DKI Jakarta","https://glints.com/id/opportunities/jobs/tender-admin/fc8b93b6-009f-4379-957a-6ebdf0676290?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Qualifications :Minimum SMA/D3 degree in Civil Engineering or a related fieldMinimum 1-3 years of experience in construction project tenderingUnderstanding of procurement/tender processes (government or private)Ability to read and understand working drawings (working drawings and tender drawings)Proficient in RAB (Cost Budget Plan) calculations and unit price analysisProficient in Microsoft Excel (proficient), AutoCAD, and estimation software (value added)Understanding of procurement systems such as LPSE and e-procurementUnderstanding of tender administration documents (administrative, technical, and commercial)Meticulous, precise, and able to work within deadlinesAbility to analyze prices and calculate project costsStrong communication, coordination skills.Able to work individually or in a limited timeKey Responsibilities :Research and compile relevant project/tender informationStudy tender documents (RKS, drawings, BOQ, etc.)Calculate work volumes and prepare AHSP, RAB (Work Plan), TKDNPrepare tender administrative documents and ensure they meet requirements.Enter and upload tender documents to systems such as LPSECommunicate and coordinate with the project team to ensure data completeness.Follow the tender explanation and clarification process.Evaluate tender results for future improvementsFile all tender documents neatly.","PersyaratanHybrid1 - 3 tahun pengalamanMinimal SMA/SMK22-28 tahun","SkillsAutoCADMicrosoft OfficeRencana Anggaran BiayaTender PreparationTKDNAhsp","Benefit KerjaHealth InsuranceWork InsuranceCareer PathTHR"
"1779113324-3","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","Web Programmer (PHP)","Best Master Ware","Kab. Tangerang, Banten","https://glints.com/id/opportunities/jobs/web-programmer-php/5f919750-5eb1-4829-8e0b-ba269d46ee11?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Tugas utama Anda sebagai IT Web Programmer termasuk:- Membuat dan Mengembangkan aplikasi web menggunakan teknologi Node.js, MySQL, Java, dan PHP Laravel.- Meningkatkan performa sistem web dan memastikan stabilitas operasional.- Kerja sama dengan tim untuk mengidentifikasi kebutuhan teknologi dan solusi yang sesuai.- Mengelola database dan memastikan data tetap aman serta dapat diakses dengan mudah.Persyaratan untuk posisi ini adalah sebagai berikut:- Pendidikan minimal Diploma.- Pengalaman kerja antara 1 hingga 3 tahun.- Keahlian dalam Node.js, MySQL, Java, dan PHP Laravel.- Disiplin kerja dan kemampuan komunikasi yang baik.- Minat yang kuat terhadap teknologi dan pemrograman.- Memiliki pengalaman minimal 3 project (yang telah selesai)Hari Kerja : Senin-Jumat 08:00-17:00Lokasi : pergudangan pantai indah dadap","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)","SkillsNode.jsLaravelJavaPHPMySQL","Benefit KerjaTHR"
"1779113326-4","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","DESIGN GRAFIS INTERNSHIP","Garda Energi Nasional Indonesia","Kab. Sidoarjo, Jawa Timur","https://glints.com/id/opportunities/jobs/design-grafis-internship/4a2a085b-5e3c-4282-a8ed-48148e72d449?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","KualifikasiMahasiswa aktif minimal semester 4 atau fresh graduate S1 jurusan:Desain Komunikasi Visual (DKV)Desain GrafisMultimediaIlmu Komunikasiatau jurusan terkaitMemiliki kemampuan desain visual yang kreatif dan komunikatifMampu bekerja secara individu maupun timTeliti, disiplin, dan mampu bekerja sesuai deadlineMemiliki kemampuan komunikasi yang baikKemampuan TeknisMenguasai software desain:Adobe PhotoshopAdobe IllustratorCanvaFigma (nilai tambah)Memahami:BrandingLayout desainTipografiKonten media sosialMemiliki kemampuan editing video sederhana menjadi nilai tambahPersyaratan TambahanMelampirkan CV dan portofolio desainBersedia mengikuti program magang sesuai periode yang ditentukanMemiliki laptop pribadi lebih diutamakanJobdeskMembuat desain untuk kebutuhan media sosial dan promosiMembantu pengembangan konten visual perusahaanBerkolaborasi dengan tim marketing/contentMembantu proses editing foto dan video sederhana","PersyaratanKerja di lokasiPengalaman kurang dari 1 tahunMinimal Sarjana (S1)18-25 tahun","SkillsAdobe IllustratorGraphic DesignPackaging DesignBrand DesignLogo DesignAdobe Photoshop","Benefit KerjaKOPI GRATISFree Wi-Fi"
"1779113329-5","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","Full Stack Developer","PT RIN Group","Tangerang Selatan, Banten","https://glints.com/id/opportunities/jobs/full-stack-developer/f3a660a8-26ba-4c7d-b80e-128417a36414?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Job Description:Design, develop, and maintain features end-to-end across frontend and backend.Implement and maintain robust backend services and APIsDevelop and maintain clean, reusable, and efficient UI components for web platforms.Ensure smooth integration between frontend, backend, and external services.Collaborate closely with product, design, and engineering teams to deliver features according to requirements.Identify and resolve technical problems, bugs, and integration issues across the stack.Participate actively in technical discussions, and continuous improvement.Placement Alam Sutera Tangerang SelatanQualifications :Bachelor’s degree in Computer Science, Information Systems, Engineering, or related field or 5–10 years of hands-on experience as a Software Engineer.Minimum 5 Years of Experience as a Full Stack Developerexperience creating office systemsunderstand and develop CRM systemsPassionate in learning new stacks and taking challenges.Experience in the F&B industry is a plus.Placement Alam Sutera Tangerang Selatan","PersyaratanKerja di lokasi5 - 10 tahun pengalamanMinimal Diploma (D1 - D4)","SkillsjQueryJavaScriptLaravelNode.jsMongoDBReact.jsMicrosoft SQL ServerMySQLWeb DevelopmentServer Technical SupportPostgreSQLC++","Benefit KerjaMeal AllowanceWork InsuranceTHRTransport Money"
"1779113331-6","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","3D Generalist","Dfactory Visual","Surabaya, Jawa Timur","https://glints.com/id/opportunities/jobs/3d-generalist/d5e5ac92-6a64-4338-863d-2905125eba3d?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Kualifikasi:Minimal SMK/D3/S1 Jurusan Multimedia/DKV/AnimasiMahir mengoperasikan Adobe Design Suite (After Effect, Photoshop)Mahir mengoperasikan Software 3D (Blender dan/atau Unreal) atau dapat menggunakan software 3D lainnya merupakan nilai tambah.Kreatif, Aktif dan KomunikatifDapat bekerja dalam tim maupun individuLulusan baru dengan portofolio menarik dipersilakan melamar","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)19-30 tahun","Skills3D Modeling3D Design3D Animation3D Rendering",""
"1779113334-7","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","IT Support Shifting (Network & Server) - ASAP/Banking Industry","PT Sigma Global Teknologi","Jakarta Selatan, DKI Jakarta","https://glints.com/id/opportunities/jobs/it-support-shifting-network-and-server-asap-banking-industry/a5ab05b3-46fb-441f-bf9e-1cfdfb88e53b?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Sigmatech - Your Digital Growth Solution Partner! We're hiring!On behalf of our client, we are currently hiring for a position as detailed below: IT Support – Banking (ASAP | WFO – Central Jakarta | Shifting 24/7)Job Descriptions:Provide day-to-day technical support for banking systems, hardware, software, and network infrastructure.Monitor and troubleshoot server performance, network connectivity, and database issues to ensure optimal uptime.Collaborate with the IT and operations team to maintain system availability and secure access control.Perform regular backup, system updates, and documentation for IT assets and configurations.Work in a 24/7 shift rotation schedule to ensure continuous IT support coverage.Qualifications:Minimum 1–2 years of experience in IT Support, preferably in the banking or financial industry.Willing to work in 24/7 shift rotation, including weekends and public holidays.Solid understanding of network administration (LAN, WAN, routers, switches, firewalls).Experience in database administration (SQL Server, Oracle, or MySQL).Strong analytical, communication, and troubleshooting skills.Only shortlisted candidates will be contacted. Thank you.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)","SkillsSoftware InstallationComputer NetworkingComputer HardwareNetworking",""
"1779113337-8","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","Jr. Scrum Master for Banking Industry","PT Sigma Global Teknologi","Tangerang, Banten","https://glints.com/id/opportunities/jobs/jr-scrum-master-for-banking-industry/f7a1c7c3-6259-4b54-8900-05233822a4b1?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Full requirment : Minimal S1, diutamakan dari bidang IT, Sistem Informasi, Teknik, atau setara.pengalaman sebagai scrum master  min 2 tahun.experience di bidang IT project, software development, atau sebagai support dalam tim Agile.Memahami dasar metodologi Agile (Scrum/Kanban).Kemampuan komunikasi, koordinasi, dan kolaborasi yang baik.Terbiasa menggunakan tools project/Agile seperti JIRA, Trello, atau Microsoft Planner.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Sarjana (S1)","SkillsScrumSoftware DevelopmentJiraAgile Methodologies",""
"1779113339-9","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","WEB PROGRAMMER STAAF","PT EVO NUSA BERSAUDARA","Palembang, Sumatera Selatan","https://glints.com/id/opportunities/jobs/web-programmer-staaf/87685773-57a3-4191-81ae-e24648f62a36?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","Kualifikasi :  Pengalaman minimal 1 tahun sebagai Web Programmer di perusahaan. Menguasai framework Laravel, Vue.JS. Menguasai SQL Server / MySQL. Dapat membuat & Consume API. Dapat membaca flow & ERD Mengerti security pada website menjadi nilai tambah Tugas :  Membuat aplikasi berbasis website. Memastikan keamanan API & website. Memastikan tim dalam standar coding yang ada. Menyusun timeline pekerjaan.","PersyaratanKerja di lokasi1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)","SkillsLaravelSQLJavaIT SecurityVue.jsMySQLC++","Benefit KerjaHealth InsuranceWork InsuranceTHR"
"1779113342-10","https://glints.com/id/opportunities/jobs/explore?keyword=Software+Engineer&country=ID&locationName=All+Cities%2FProvinces","Senior Ruby on Rails","uptowngift","Jakarta Selatan, DKI Jakarta","https://glints.com/id/opportunities/jobs/senior-ruby-on-rails/eebc98da-31f8-4c4a-a770-dcb87facfb2c?utm_referrer=explore&traceInfo=dc9956ea3a1994c4f30b556844d0d12d","We are seeking a Senior Ruby on Rails Developer to lead the design, development, and scaling of our web applications built on Ruby on Rails. This role requires strong technical ownership, architectural thinking, and the ability to mentor engineers while delivering high-quality, production-ready code.Key ResponsibilitiesDesign, build, and maintain scalable web applications using Ruby on RailsOwn system architecture decisions, ensuring performance, scalability, and securityCollaborate with product, design, and business teams to translate requirements into technical solutionsReview code, enforce best practices, and maintain high engineering standardsOptimize database queries and application performance (e.g., PostgreSQL/MySQL)Lead debugging and resolution of complex production issuesMentor junior and mid-level developers; contribute to team growthImplement and maintain APIs (REST/GraphQL) for internal and external integrationsEnsure test coverage and participate in CI/CD processesDrive continuous improvement in development workflows and toolingRequired Qualifications5+ years of software engineering experience, with strong focus on Ruby on RailsDeep understanding of MVC architecture and RESTful designExperience with relational databases (PostgreSQL/MySQL) and query optimizationStrong knowledge of version control (Git) and collaborative workflowsExperience with background jobs (Sidekiq/Resque) and caching strategiesFamiliarity with cloud infrastructure (AWS/GCP/Azure)Solid understanding of web security best practicesProven ability to write clean, maintainable, and testable codePreferred QualificationsExperience leading or mentoring engineering teamsExposure to microservices or service-oriented architectureFrontend familiarity (React/Vue) for full-stack collaborationExperience working in Agile/Scrum environmentsPrior experience in scaling production systemsKey CompetenciesStrong problem-solving and analytical thinkingOwnership mindset and accountabilityClear communication with both technical and non-technical stakeholders","PersyaratanKerja di lokasiMinimal Sarjana (S1)","SkillsSoftware DevelopmentRuby on RailsSoftware Architecture",""
