web_scraper_order,web_scraper_start_url,job_title,company,location,job_detail,description,requirements,Skills,job_benefits
"1778507135-1","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Network Technician","PT. Ayodya Dialog Semesta","Jakarta Selatan, DKI Jakarta","https://glints.com/id/en/opportunities/jobs/network-technician/9ec92fc8-5725-425e-9343-59b37aad5c78?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","I. KUALIFIKASI YANG DIBUTUHKANPendidikan minimal SMA/SMK (TKJ / Teknik Komputer & Jaringan / Teknik Elektro / Telekomunikasi) atau D3 Teknik Komputer / Teknik ElektroFresh graduate dipersilakan melamar / pengalaman 1–2 tahun di bidang instalasi jaringan lebih diutamakanMemahami dasar jaringan komputer (IP Addressing, Subnetting dasar, VLAN, DHCP, DNS)Mampu melakukan instalasi dan konfigurasi dasar perangkat jaringan seperti Huawei, MikroTik, dan H3CBerpengalaman melakukan instalasi dan maintenance CCTV IP Camera & NVR seperti Hikvision, Holowits, dan MilesightMampu melakukan penarikan dan terminasi kabel UTP, fiber optic (splicing menjadi nilai tambah), serta pemasangan patch panel & rack serverTerbiasa menggunakan alat kerja seperti LAN tester, crimping tools, fusion splicer (nilai tambah), dan alat ukur dasarMampu melakukan troubleshooting jaringan dasar (cek konektivitas, ping test, tracing kabel, pengecekan power perangkat)Bersedia bekerja di lapangan / on-site project, termasuk pekerjaan instalasi di area outdoorMemiliki sikap kerja disiplin dan mampu bekerja dalam tim","Job RequirementsHybrid1 - 3 years of experienceMinimum Senior/Vocational High School23-37 years old","SkillsSystem DeploymentJavaPHPExpress.JsDockerPostgreSQLTypeScriptMongoDBPythonMySQL","Job BenefitsCareer PathWork InsuranceTeam-building eventsTraining/CertificationHealth InsuranceTHR"
"1778507137-2","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Software Developer","PT Xorro Teknologi Untuk Negeri","Kab. Tegal, Jawa Tengah","https://glints.com/id/en/opportunities/jobs/software-developer/1975884e-bf30-4576-8743-f369eae0c935?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Mengembangkan dan memelihara aplikasi menggunakan framework NextJS, Angular, atau Laravel.Berkolaborasi dengan tim RnD untuk merancang, mendiskusikan, dan mengimplementasikan fitur atau produk baru.Melakukan optimasi performa aplikasi dan memastikan skalabilitas pada sisi frontend maupun backend.Melakukan troubleshooting dan bug fixing secara berkala untuk menjaga stabilitas sistem.Menulis dokumentasi teknis terkait alur kode dan integrasi sistem untuk kebutuhan tim.Pengalaman Kerja: Minimal 2–3 tahun pengalaman dalam peran Software Developer.Minimal Pendidikan S1 Teknik Informatika, Sistem Informasi, atau Ilmu Komputer.Pemahaman Arsitektur: Paham konsep API, Microservices, dan Clean Architecture.Keahlian Database: Menguasai prinsip kerja database PostgreSQL dan MySQL.Adaptabilitas: Selalu update dengan perkembangan framework dan teknologi terbaru.Soft Skills: Memiliki kemampuan komunikasi yang baik dan efektif, baik secara tim maupun individu.Version Control: Mahir menggunakan Git (GitHub/GitLab) untuk kolaborasi kode.Problem Solving: Memiliki kemampuan logika yang kuat dalam memecahkan masalah teknis yang kompleks.Testing: Memahami dasar-dasar Automated Testing (Unit Testing/Integration Testing) merupakan nilai tambah.Cloud/Deployment: Familiar dengan layanan cloud (AWS/GCP) atau platform deployment seperti Vercel/DigitalOcean/VPS.","Job RequirementsHybrid3 - 5 years of experienceMinimum Bachelor’s Degree","SkillsNuxt.jsLaravelNext.JsReact.jsAngular.jsPostgreSQL","Job BenefitsHealth InsuranceTHRCareer Path"
"1778507140-3","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Director Asisstant","Seakun (PT Seakun Global Teknologi)","Kab. Deli Serdang, Sumatera Utara","https://glints.com/id/en/opportunities/jobs/director-asisstant/58322538-01a9-4422-be2d-8c0d1aa2839b?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Job DescriptionsMembantu dukungan harian kepada CEO dan COO dalam penjadwalan, komunikasi, dan manajemen tugas⁠Mengkoordinasikan rapat dan mendokumentasikan kegiatan ⁠Menjadi penghubung antara CEO dan COO dengan departemen internal maupun eksternal⁠Menyiapkan kebutuhan untuk rapat, acara formal dan kegiatan lainnya⁠Membantu menyiapkan strategi personal branding CEO di social mediaMenyusun, mencatat, dan mengarsipkan seluruh dokumen administratif penting perusahaan, mulai dari surat-menyurat, notulen rapat, hingga dokumen legal dan operasionalMengelola kalender rapat, perjalanan dinas, pengadaan barang kebutuhan kantor, serta memastikan kelancaran kegiatan administratif harian
Job RequirementsMinimal pendidikan S1⁠Memiliki kemampuan komunikasi yang baik  dan berpenampilan menarik⁠Mampu bekerja multitasking dan memiliki kemampuan manajemen waktu yang baik⁠Kreatif dan Inovatif⁠Domisili MedanBenefit :Salary 4.5 - 6 JtTunjangan KesehatanBonusTHRFree Lunch","Job RequirementsOn-site1 - 3 years of experienceMinimum Bachelor’s Degree22-30 years oldFemale only","SkillsVideo EditingMicrosoft OfficeGoogle SheetsCommunication SkillsSchedulingGoogle Docs","Job BenefitsPerform BonusCareer PathTHR"
"1778507142-4","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Lead Tutor","Algorithmics Global FZE","Surabaya, Jawa Timur","https://glints.com/id/en/opportunities/jobs/lead-tutor/7aed0d85-093b-441c-a375-f5876bf7484f?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","LEAD TUTOR – ALGORITHMICS (ALGONOVA) About AlgorithmicsALGORITHMICS is an international school of programming and mathematics for children, with over 500,000 students worldwide. Our mission is to help children take their first steps into the world of IT and develop strong mathematical thinking through fun, engaging lessons using our unique methodology and specially developed online platform.Job Description – Lead TutorAs a Lead Tutor, you will play a key role in maintaining academic quality at the branch and supporting the tutor team. Your responsibilities will include:Designing and evaluating lesson plans for various class levels.Mentoring, observing, and providing constructive feedback to other tutors.Teaching live classes, particularly for advanced or specialized programs.Reviewing and compiling student progress reports from all tutors.Coordinating with branch management on academic planning and program development.Representing the academic team in internal and external school events.Supporting training and continuous development for new and existing tutors.Job Requirements – Lead TutorMinimum D3/Bachelor’s degree in Education, Information Technology, Mathematics, or a related field.At least 2 years of teaching experience; previous leadership/coordination experience is a strong advantage.Proficient in one or more of the following subjects: Scratch, Python, Graphic Design, Game Development.Strong communication, leadership, mentoring, and time management skills.Fluent in Indonesian and able to communicate effectively in English (spoken and written).Passionate about children’s education and able to build positive relationships with students and parents.Teaching certification (PPG) and/or programming certifications are a plus.Willing to work on weekends and teach 5–7 group classes per week.","Job RequirementsOn-site1 - 3 years of experienceMinimum Associate Degree","SkillsTeaching Junior High SchoolCodingLeadershipEnglish Language","Job BenefitsRemote work optionsCareer PathEmployee AwardAnnual Leave"
"1778507145-5","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Data Engineer (Junior - Senior)","PT Avows Technologies","Jakarta Selatan, DKI Jakarta","https://glints.com/id/en/opportunities/jobs/data-engineer-junior-senior/019c254e-366a-402a-a2fc-34af9c2f8890?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","placement : Banking Syaria industry contract based Job ResponsibilitiesDesign, build, and maintain scalable data pipelines and ETL/ELT processes.Develop and optimize data architectures, data models, and database systems.Integrate data from multiple sources including APIs, databases, and third-party systems.Ensure data quality, reliability, and integrity across data platforms.Collaborate with Data Analysts, Data Scientists, and Software Engineers to support data needs.Monitor, troubleshoot, and improve data processing performance.Implement data governance, security, and best practices for data management.Support real-time and batch data processing solutions.RequirementsBachelor’s degree in Computer Science, Information Technology, Data Engineering, or related field.Proven experience as a Data Engineer or similar role.Strong proficiency in SQL and database management (PostgreSQL, MySQL, BigQuery, etc.).Experience with ETL tools or building data pipelines.Proficiency in programming languages such as Python, Scala, or Java.Familiarity with data warehousing concepts and big data technologies.Experience with cloud platforms (AWS, GCP, or Azure) is a plus.Understanding of data modeling and data architecture.Good problem-solving and analytical skills.Preferred Qualifications (Nice to Have)Experience with tools such as Apache Airflow, Kafka, Spark, or Hadoop.Experience working with data lakes or data warehouses.Familiar with Docker or Kubernetes.Experience building real-time data streaming pipelines.","Job RequirementsOn-site1 - 3 years of experienceMinimum Bachelor’s Degree","SkillsRedisData EngineeringData IntegrationSql Server Database SystemsMicrosoft SQL ServerETLPythonMongoDBHadoopData Processing","Job BenefitsTHRkompensasi PKWTHealth InsuranceWork Insurance"
"1778507147-6","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Admin Purchasing","PT Hidro Seal Tech Indonesia","Kab. Bekasi, Jawa Barat","https://glints.com/id/en/opportunities/jobs/admin-purchasing/50ec9757-e39b-46ae-969e-dd172cf6ba21?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Job Description:Menerima dan mencatat Purchase Request (PR) dan departemen terkaitMenyusun dan mengarsipkan dokumen pembelian seperti PR, PO (Purchase Order), Invoice, dan DO (Delivery Order)Membantu pembuatan PO berdasarkan permintaan dan data yang telah disetujuiMenginput data transaksi pembelian ke dalam sistem ERP atau spreadsheetMembantu tim purchasing dalam memantau status PO (open, in process, delivered)Melakukan follow-up kepada vendor terkait pengiriman dan kelengkapan dokumenBerkomunikasi dengan departemen terkait (Gudang, Finance, Produksi) mengenai status barang dan dokumen pembelianMembuat laporan pembelian harian/mingguan/bulanan sesuatu kebutuhan manajemenMenyusun dokumen pembelian untuk kebutuhan audit internal/eksternalMengelola petty cashKualifikasi:Pendidikan minimal D3/S1 jurusan Administrasi, perkantoran, sejenisnyaPengalaman min 1 tahunMempunyai kemampuan Microsoft office, Google sheet, Filling doc, membuat PPT (Microsoft Power Point)Memiliki pribadi yang jujur, past respon, aktif, inisiatif, dan teliti Komunikatif dan multitaskingSerius dalam bekerja","Job RequirementsOn-site1 - 3 years of experienceMinimum Associate Degree21-35 years oldFemale only","SkillsGive it a try! - 1 of 9 skills match your profileMicrosoft ExcelkomunikatifGoogle SheetsMicrosoft PowerPointPurchasingAdministrationMicrosoft OfficeFilling DocMultitasking","Job BenefitsHealth InsuranceCareer PathMeal AllowanceTHRWork InsurancePhone ProvidedTransport Money"
"1778507150-7","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Internship Programmer React + Python","PT Javan Cipta Solusi","Kab. Sleman, DI Yogyakarta","https://glints.com/id/en/opportunities/jobs/internship-programmer-react-python/afa49744-7f42-49bf-95c6-b772510ef679?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Anda Antusias Belajar Teknologi Baru, Teliti Menulis Kode, dan Tertantang Membangun Aplikasi yang Fungsional? Jadilah Programmer Intern (React + Python) di Javan!Kami membuka kesempatan bagi Anda yang ingin mengembangkan kemampuan di bidang frontend dan backend, serta terlibat langsung dalam pengembangan aplikasi yang digunakan oleh berbagai klien.Tentang Javan Cipta SolusiJavan Cipta Solusi adalah Konsultan IT yang melayani Jasa Automasi Proses Bisnis untuk meningkatkan produktivitas dan efisiensi secara customized sesuai kebutuhan mitra.Selama 16 tahun, Javan telah membantu mitra dari berbagai sektor—KL/PD, swasta, hingga organisasi di 2 negara—meningkatkan efisiensi hingga 25–30%, dengan lebih dari 318 proyek.VisiMenjadi Konsultan Customized dan Reliable BPM terbaik di Indonesia pada tahun 2030.Misi1. Membangun tim yang kompeten dan unggul2. Menyelesaikan proyek tepat waktu dan efisien3. Memberikan pelayanan dan pengalaman terbaik4. Mengutamakan keberlanjutan dan pertumbuhan yang sehatBudaya KamiLEBIH MUDAH – Memperjelas langkah & menyederhanakan prosesLEBIH CEPAT – Menghindari penundaan & menyegerakan penyelesaianLEBIH BAIK – Meningkatkan kualitas & memperbesar kapasitasMengapa Bergabung dengan Kami? — Benefit- Uang saku internship jika sudah level 3- Makan siang di kantor- Mentoring langsung dari tim profesional- Kesempatan menjadi full-time (berdasarkan performa)Tanggung Jawab Utama1. Membantu pengembangan frontend menggunakan React2. Membantu pengembangan backend menggunakan Python3. Menulis kode yang rapi, terstruktur, dan mudah dipahami4. Melakukan testing sederhana untuk memastikan fitur berjalan dengan baik5. Berkolaborasi dengan tim developer dalam menyelesaikan task6. Mendokumentasikan hasil pekerjaan dengan baikKualifikasi1. Mahasiswa aktif atau fresh graduate (Teknik Informatika / Sistem Informasi / bidang terkait)2. Memahami dasar JavaScript dan React (nilai tambah jika pernah membuat project)3. Memahami dasar Python (Flask/Django menjadi nilai plus)4. Memiliki logika pemrograman yang baik5. Mau belajar dan terbuka terhadap feedback6. Mampu bekerja secara tim maupun mandiriJadilah Programmer Intern di Javan Hanya Jika Anda Mampu:1. Belajar cepat dan beradaptasi dengan teknologi baru2. Menyelesaikan task dengan rapi dan sesuai arahan3. Berkomunikasi dengan tim secara aktif4. Bertanggung jawab terhadap progress pekerjaanProses Rekrutmen1. Screening CV & Portofolio2. Wawancara User3. Offering / Internship AgreementLokasiSleman, YogyakartaKesempatan Ini Terbatas!Jika Anda merasa memenuhi kriteria, segera kirim lamaran Anda sebelum 15 April 2026.Hanya kandidat terbaik yang akan diproses lebih lanjut.Ambil langkah awal karier Anda di dunia programming bersama Javan Cipta Solusi. 🚀","Job RequirementsOn-siteLess than a year of experienceMinimum Bachelor’s Degree","SkillsJavaScriptReact.jsPython","Job BenefitsFree MealsTraining/CertificationCareer Path"
"1778507153-8","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Helpdesk & Admin","PT Indo Teknologi Solusi","Jakarta Barat, DKI Jakarta","https://glints.com/id/en/opportunities/jobs/helpdesk-and-admin/5a15af3f-6658-4694-a2b5-71691cb43ba4?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Bergabung dengan Tim Admin & Helpdesk
PT. Indo Teknologi Solusi, sebuah perusahaan teknologi terkemuka di Indonesia yang berfokus pada penyediaan solusi IT inovatif, sedang mencari individu berbakat untuk bergabung dengan tim Admin dan Helpdesk kami di Jakarta Barat. Dalam peran ini, Anda akan menjadi titik utama kontak untuk pelanggan, memastikan pengalaman yang luar biasa setiap saat.Tanggung Jawab UtamaMemberikan dukungan dan layanan pelanggan yang unggul melalui berbagai saluran, termasuk telepon, email, dan Chat WhatsappMenangani keluhan, pertanyaan, dan permintaan pelanggan dengan cepat dan efisienMenganalisis masalah, memberikan solusi, dan memastikan pelanggan puas dengan hasil akhirMengumpulkan umpan balik dari pelanggan untuk membantu meningkatkan produk dan layananMemperbarui catatan pelanggan secara teratur dan menjaga kerahasiaan data sensitifBerkoordinasi dengan tim lain, seperti penjualan dan teknis, untuk memastikan penanganan masalah pelanggan yang menyeluruhMembantu membuat konten untuk media sosial perusahaanKualifikasi yang DibutuhkanMinimal SMA, lebih disukai Diploma atau S1Lebih disukai memiliki pengalaman sebagai Customer Service & Helpdesk, terutama untuk bidang ITKeterampilan komunikasi yang sangat baik, baik secara lisan maupun tertulis, dalam Bahasa Indonesia dan lebih disukai mampu Berbahasa InggrisKemampuan untuk tetap tenang dan profesional di bawah tekanan, dengan fokus pada solusiMemiliki kemampuan multitasking dan dapat bekerja dengan baik dalam timPemahaman yang baik tentang teknologi dan kemampuan untuk membantu pelanggan dengan masalah teknisMampu mengelola administrasi dan dokumen proyek","Job RequirementsOn-site1 - 3 years of experienceMinimum Senior/Vocational High School","SkillsGive it a try! - 1 of 10 skills match your profileMicrosoft ExcelGoogle SheetsMicrosoft OfficeOffice AdministrationMicrosoft OutlookData EntryGoogle DocsCustomer ServiceOrganizational SkillsAdministration",""
"1778507156-9","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Account Manager - RT RW NET","ION Network","Kab. Banyuwangi, Jawa Timur","https://glints.com/id/en/opportunities/jobs/account-manager-rt-rw-net/b7918acb-c41e-4f0b-8278-399c247aa7be?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","ION Network Jawa Timur sedang memperluas jangkauan layanan internet kami! Kami mengundang profesional yang kompeten untuk mengelola dan  mengembangkan portofolio bisnis kami di segmen Reseller / RT RW Net, dan Education. Kami mencari individu yang tidak hanya sekadar menjual, tetapi mampu menjadi mitra strategis bagi klien kami di wilayah Jawa Timur.
AREA PENEMPATAN: Banyuwangi TANGGUNG JAWAB UTAMA:Business Development: Mengakuisisi klien baru di segmen Reseller / Mitra RT RW NetConsultative Solution: Memberikan solusi konektivitas yang tepat guna, mulai dari kebutuhan bandwidth besar untuk korporat hingga dukungan infrastruktur untuk reseller.Relationship Management: Membangun relasi strategis dengan para pemangku kepentingan (Decision Makers) di berbagai institusi dan komunitas.Collaboration & Coordination: Menjadi jembatan antara kebutuhan klien dengan tim teknis, support, dan finance untuk menjamin kualitas layanan (SLA).Revenue Growth: Mencapai target penjualan serta mengoptimalkan peluang upsell, cross-sell, dan renewal kontrak.KUALIFIKASI:Pengalaman minimal 1-2 tahun sebagai Sales/Account Manager di industri ISP, Telco, atau IT.Memiliki pemahaman yang baik tentang ekosistem B2B, kemitraan RT RW Net, Komunikator yang handal dengan kemampuan negosiasi dan presentasi yang persuasive.Memiliki pengetahuan dasar tentang infrastruktur jaringan dan teknologi internet.Mandiri, berorientasi pada target, dan bersedia bekerja secara mobile di area penempatan.Memiliki sim A dan C (sim A Prioritas)Bersedia melakukan perjalanan dinas","Job RequirementsOn-site1 - 3 years of experienceMinimum Senior/Vocational High School","SkillsClient ServicesB2B SalesAccount ManagementSales and Marketing","Job BenefitsTHRGaji PokokHealth InsuranceGatrhering KaryawanAsuransi KesehatanWork InsuranceCareer Path"
"1778507159-10","https://glints.com/id/en/opportunities/jobs/explore?keyword=IT&country=ID&locationName=All+Cities%2FProvinces","Android Developer - Banking Syariah Industry","PT Sigma Global Teknologi","Jakarta Selatan, DKI Jakarta","https://glints.com/id/en/opportunities/jobs/android-developer-banking-syariah-industry/e6efc8f4-259c-42e2-8832-c991c2d2e7e4?utm_referrer=explore&traceInfo=5963e50d4495e9869b7c4b92c1c86d70","Requirements* Memiliki Pendidikan minimal S1 dibidang atau jurusan IT, SI, Ilmu Komputer atau bidang lain yang relevan.* Memiliki Skill Komunikasi atau kemampuan Interpersonal dengan sangat baik.* Memiliki pengalaman bekerja di bagian Android Developer setara minimal 3 tahun.* Memiliki pengalaman Java, React Native* Memiliki kemampuan bekerja secara Individu ataupun dalam tim serta mampu berkoordinasi dengan tim tim lain yang terkait.* Memiliki kemampuan dalam memberikan masukan/ide ide untuk improvement dalam timJobdesc:1. Design and implement Mobile / Web applications.2. Build the reusable components for supporting complex Mobile applications.3. Designing, enhancing and building out new features and services4. Write clean, reusable, maintainable code5. A team-oriented approach, with A willingness to receive feedback and iterate on designs6. Design, Write and deliver software to improve the availability, scalability, latency, and efficiency of application services7. Work with team to create new Design/architectures geared towards scale and performance8. Engage in service capacity and demand planning, software performance analysis, tuning and optimization9. Work with team to define and prototype feature specifications","Job RequirementsOn-site3 - 5 years of experienceMinimum Bachelor’s Degree","SkillsReact NativeRestful APIJavaMobile DevelopmentAndroid DevelopmentGradleRetrofitKotlin","Job BenefitsLaptop ProvidedCareer PathWork InsuranceTHRNear Public TransportHealth Insurance"
